Rank,YouTuber,Subscribers,Video_Views,Video_Count,Category,Started,Country
55,SonyMusicIndiaVEVO,41300000,"22,855,070,416",3228,Music,2009,Global
56,Like Nastya Show ,41000000,"18,474,229,002",551,Entertainment,2017,India
57,elrubiusOMG,40400000,"7,429,801,800",704,Gaming,2011,Brazil
58,Speed Records ,40100000,"23,698,345,670",10065,Music,2012,Brazil
59,A4,39400000,"14,391,209,548",582,Gaming,2014,United States
60,Get Movies ,39200000,"27,941,044,582",3746,Entertainment,2006,Mexico
61,ABS-CBN Entertainment ,39000000,"46,162,631,485",173988,People & Blogs,2008,United States
62,Rihanna ,39000000,"19,498,773,786",79,Entertainment,2005,Thailand
63,Little Baby Bum - Nursery Rhymes & Kids Songs ,38600000,"35,945,824,996",1728,Education,2011,Global
64,Bad Bunny ,38500000,"19,328,721,596",98,Music,2014,France
65,Luisito Comunica ,38500000,"7,351,172,092",1103,Comedy,2012,Global
66,TheEllenShow,38200000,"22,040,498,763",14084,Entertainment,2006,United States
67,Маша и Медведь,37600000,"31,845,287,102",1139,Film & Animation,2011,India
68,GR6 EXPLODE ,37200000,"23,244,187,762",4067,Music,2014,Global
69,LUCCAS NETO - LUCCAS TOON ,37100000,"19,721,474,289",1781,People & Blogs,2014,Global
70,One Direction ,37000000,"12,395,170,322",157,Music,2010,Thailand
71,XXXTENTACION ,36800000,"9,439,987,125",114,Music,2015,India
72,Ishtar Music ,36600000,"14,208,873,860",4496,Trailers,2005,Colombia
73,Voot Kids ,36300000,"16,096,496,089",2875,Entertainment,2016,Global
74,Daddy Yankee ,36200000,"19,516,597,967",409,Music,2011,United States
75,Kimberly Loaiza,36200000,"3,997,275,983",197,People & Blogs,2016,Mexico
76,WorkpointOfficial ,36200000,"32,750,254,533",58916,Entertainment,2012,United States
77,News ,36000000,"24,960,523,215",,News & Politics,2013,India
78,Shemaroo,36000000,"19,282,156,578",8955,Entertainment,2007,India
79,Maroon 5,35700000,"20,238,289,703",163,Music,2006,Global
80,Shakira ,35500000,"22,591,879,625",269,People & Blogs,2005,Global
81,Toys and Colors ,35300000,"38,339,684,179",765,Entertainment,2016,India
82,CarryMinati ,35200000,"2,844,277,672",177,Comedy,2014,India
83,Shfa ,35100000,"18,171,683,239",795,People & Blogs,2015,United States
84,Ozuna ,34800000,"20,471,335,787",137,Music,2016,Mexico
85,shfa2 - شفا,34700000,"19,676,656,583",1224,People & Blogs,2017,India
86,Bruno Mars ,34700000,"16,706,459,290",95,Music,2006,United States
87,TEDx Talks ,34500000,"6,356,262,947",179816,Nonprofits & Activism,2009,India
88,Jkk Entertainment ,34500000,"14,403,267,858",186,Comedy,2017,India
89,Super Simple Songs - Kids Songs ,33900000,"35,216,710,205",587,Education,2006,India
90,one31,33400000,"26,302,194,542",122287,Entertainment,2013,Mexico
91,J Balvin ,33300000,"20,881,421,568",129,Music,2011,Global
92,Masha and The Bear ,33200000,"17,999,127,339",872,Shows,2014,Pakistan
93,VEGETTA777,33000000,"14,724,851,921",7007,Gaming,2008,Pakistan
94,YouTube ,32900000,"2,647,950,108",483,News & Politics,1970,India
95,Goldmines Gaane Sune Ansune ,32800000,"13,405,543,587",2925,Music,2015,United States
96,Markiplier ,32600000,"18,011,837,263",5129,Gaming,2012,United States
97,Like Nastya ESP ,32600000,"15,144,858,210",584,Entertainment,2017,Global
98,Ryan's World ,32400000,"51,312,603,726",2155,Entertainment,2015,India
99,ABP News ,32300000,"9,850,740,503",209351,People & Blogs,2012,United States
100,Desi Music Factory ,32200000,"9,115,577,588",122,Music,2014,Indonesia
